Espécie,Código,Trilha,Ambiente,Classificação (ordem),Classificação 2,Quantidade,Comprimento item (mm),Largura item (mm),Observações,Volume
Ischnocnema juipoca,MRCM1470,E_FA,eucalipto,Araneae,Araneae,1,4,2,,"67,021"
Boana latistriata,MRCM1471,M_BVA,mata,Não Identificado,Não Identificado,1,,,,"0,000"
Ololygon obtriangulata,MRCM1475,M_PA,mata,Vazio,Vazio,0,,,Matéria Vegetal,"0,000"
Physalaemus olfersii,MRCM1479,M_BVB,mata,Hymenoptera,Formicidae,1,5,1,,"20,944"
Physalaemus olfersii,MRCM1479,M_BVB,mata,Hymenoptera,Formicidae,3,3,1,,"37,699"
Physalaemus olfersii,MRCM1479,M_BVB,mata,Hymenoptera,Formicidae,2,4,1,,"33,510"
Ischnocnema guentheri,MRCM1486,E_TA,eucalipto,Vazio,Vazio,0,,,,"0,000"
Bokermannohyla luctuosa,MRCM1488,M_BVA,mata,Vazio,Vazio,0,,,,"0,000"
Boana prasina,MRCM1490,M_BVA,mata,Vazio,Vazio,0,,,,"0,000"
Odontophrynus americanus,MRCM1494,M_BVA,mata,Vazio,Vazio,0,,,,"0,000"
Physalaemus cuvieri,MRCM1495,M_BVA,mata,Hymenoptera,Formicidae,2,2,1,,"16,755"
Physalaemus cuvieri,MRCM1495,M_BVA,mata,Não Identificado,Não Identificado,1,,,,"0,000"
Dendropsophus microps,MRCM1496,M_CB,mata,Vazio,Vazio,0,,,,"0,000"
Boana prasina,MRCM1498,E_TB,eucalipto,Vazio,Vazio,0,,,,"0,000"
Ololygon obtriangulata,MRCM1499,M_BVB,mata,Hemiptera,Heteroptera,1,,,Incompleto,"0,000"
Chiasmocleis mantiqueira,MRCM1501,E_FA,eucalipto,Hymenoptera,Formicidae,1,4,1,,"16,755"
Chiasmocleis mantiqueira,MRCM1501,E_FA,eucalipto,Hymenoptera,Formicidae,2,5,1,,"41,888"
Chiasmocleis mantiqueira,MRCM1503,E_FB,eucalipto,Arthropoda,Arthropoda,1,,,Incompleto,"0,000"
Scinax aff. dolloi,MRCM1504,E_FB,eucalipto,Vazio,Vazio,0,,,,"0,000"
Ischnocnema guentheri,MRCM1505,E_CAA,eucalipto,Opiliones,Opiliones,1,,,Incompleto,"0,000"
Dendropsophus microps,MRCM1506,M_AA,mata,Coleoptera,Coleoptera,2,4,1,,"33,510"
Scinax aff. dolloi,MRCM1507,M_AA,mata,Coleoptera,Coleoptera,1,3,1,,"12,566"
Proceratophrys boiei,MRCM1508,M_BVA,mata,Coleoptera,Coleoptera,2,12,5,,"2513,274"
Proceratophrys boiei,MRCM1508,M_BVA,mata,Coleoptera,Coleoptera,2,15,7,,"6157,522"
Rhinella icterica,MRCM1509,M_PA,mata,Coleoptera,Coleoptera,1,43,17,,"52054,096"
Rhinella icterica,MRCM1509,M_PA,mata,Coleoptera,Coleoptera,2,16,10,,"13404,129"
Rhinella icterica,MRCM1509,M_PA,mata,Coleoptera,Coleoptera,2,10,7,,"4105,014"
Rhinella icterica,MRCM1509,M_PA,mata,Coleoptera,Coleoptera,1,,,Incompleto,"0,000"
Proceratophrys boiei,MRCM1510,M_BVA,mata,Vazio,Vazio,0,,,,"0,000"
Aplastodiscus albosignatus,MRCM1511,M_AA,mata,Vazio,Vazio,0,,,,"0,000"
Proceratophrys boiei,MRCM1512,M_BVA,mata,Araneae,Araneae,1,,,Incompleto,"0,000"
Chiasmocleis mantiqueira,MRCM1513,M_AA,mata,Hymenoptera,Formicidae,1,4,1,,"16,755"
Chiasmocleis mantiqueira,MRCM1513,M_AA,mata,Coleoptera,Coleoptera,1,3,1,,"12,566"
Ischnocnema guentheri,MRCM1515,E_VLB,eucalipto,Vazio,Vazio,0,,,,"0,000"
Proceratophrys boiei,MRCM1516,M_PA,mata,Coleoptera,Coleoptera,2,14,8,,"7506,312"
Ischnocnema guentheri,MRCM1519,E_VLB,eucalipto,Coleoptera,Coleoptera,2,3,1,,"25,133"
Ischnocnema guentheri,MRCM1520,E_VLB,eucalipto,Vazio,Vazio,0,,,,"0,000"
Ischnocnema guentheri,MRCM1520,E_VLB,eucalipto,Opiliones,Opiliones,1,4,4,,"268,083"
Ischnocnema guentheri,MRCM1520,E_VLB,eucalipto,Coleoptera,Coleoptera,2,7,2,,"234,572"
Ischnocnema guentheri,MRCM1520,E_VLB,eucalipto,Dermaptera,Dermaptera,1,12,2,,"201,062"
Ischnocnema juipoca,MRCM1521,E_TB,eucalipto,Collembola,Collembola,1,1,"0,5",,"1,047"
Ischnocnema juipoca,MRCM1521,E_TB,eucalipto,Coleoptera,Staphylinidae,1,5,1,,"20,944"
Ischnocnema juipoca,MRCM1521,E_TB,eucalipto,Lepidoptera,Lepidoptera Larva,1,13,2,,"217,817"
Ischnocnema juipoca,MRCM1521,E_TB,eucalipto,Coleoptera,Coleoptera,1,3,1,,"12,566"
Ischnocnema juipoca,MRCM1521,E_TB,eucalipto,Araneae,Araneae,1,6,3,,"226,195"
Boana prasina,MRCM1523,M_BVA,mata,Vazio,Vazio,0,,,Matéria Vegetal,"0,000"
Bokermannohyla luctuosa,MRCM1524,M_BVA,mata,Vazio,Vazio,0,,,,"0,000"
Boana latistriata,MRCM1525,M_BVA,mata,Arthropoda,Arthropoda,1,,,Incompleto,"0,000"
Proceratophrys boiei,MRCM1526,M_FB,mata,Vazio,Vazio,0,,,,"0,000"
Scinax aff. duartei,MRCM1527,M_BVA,mata,Vazio,Vazio,0,,,,"0,000"
Scinax aff. dolloi,MRCM1528,M_AB,mata,Vazio,Vazio,0,,,,"0,000"
Ololygon obtriangulata,MRCM1529,M_FB,mata,Coleoptera,Coleoptera,1,2,1,,"8,378"
Ololygon obtriangulata,MRCM1529,M_FB,mata,Araneae,Araneae,1,,,Incompleto,"0,000"
Scinax aff. dolloi,MRCM1530,M_FB,mata,Vazio,Vazio,0,,,,"0,000"
Ololygon obtriangulata,MRCM1531,M_FB,mata,Arthropoda,Arthropoda,1,,,Incompleto,"0,000"
Dendropsophus microps,MRCM1534,M_PA,mata,Não Identificado,Não Identificado,1,,,Incompleto,"0,000"
Ololygon obtriangulata,MRCM1535,M_PA,mata,Arthropoda,Arthropoda,1,,,Incompleto,"0,000"
Bokermannohyla luctuosa,MRCM1536,M_PA,mata,Vazio,Vazio,0,,,,"0,000"
Bokermannohyla luctuosa,MRCM1537,M_PA,mata,Vazio,Vazio,0,,,,"0,000"
Scinax aff. dolloi,MRCM1540,M_FA,mata,Vazio,Vazio,0,,,,"0,000"
Ischnocnema juipoca,MRCM1543,E_FA,eucalipto,Araneae,Araneae,1,,,Incompleto,"0,000"
Ischnocnema juipoca,MRCM1543,E_FA,eucalipto,Vazio,Vazio,0,,,,"0,000"
Ischnocnema juipoca,MRCM1544,E_CAA,eucalipto,Vazio,Vazio,0,,,,"0,000"
Ischnocnema juipoca,MRCM1544,E_CAA,eucalipto,Vazio,Vazio,0,,,,"0,000"
Physalaemus olfersii,MRCM1545,M_BVB,mata,Insecta,Insecta,1,,,Incompleto,"0,000"
Dendropsophus microps,MRCM1546,M_BVB,mata,Vazio,Vazio,0,,,,"0,000"
Physalaemus olfersii,MRCM1547,M_BVB,mata,Hymenoptera,Formicidae,1,4,1,,"16,755"
Physalaemus olfersii,MRCM1547,M_BVB,mata,Araneae,Araneae,1,2,1,,"8,378"
Physalaemus olfersii,MRCM1548,M_BVB,mata,Hymenoptera,Formicidae,1,2,"0,5",,"2,094"
Physalaemus olfersii,MRCM1548,M_BVB,mata,Hymenoptera,Formicidae,4,4,1,,"67,021"
Physalaemus olfersii,MRCM1548,M_BVB,mata,Coleoptera,Coleoptera,1,6,1,,"25,133"
Scinax aff. dolloi,MRCM1549,E_BVB,eucalipto,Vazio,Vazio,0,,,,"0,000"
Ischnocnema juipoca,MRCM1550,M_PB,mata,Vazio,Vazio,0,,,,"0,000"
Rhinella icterica,MRCM1551,M_PB,mata,Coleoptera,Coleoptera,27,13,10,,"147026,536"
