,Acari,Araneae,Blattodea,Chilopoda,Coleoptera,Coleoptera Larva,Collembola,Dermaptera,Diplopoda,Ensifera,Formicidae,Hemiptera,Heteroptera,Isópode,Isoptera,Larva,Lepidoptera Larva,Mosca,Opiliones,Orthoptera,Pterygota,Staphylinidae,Thysanoptera,Vespa
Aplastodiscus albosignatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana faber,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana prasina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chiasmocleis mantiqueira,1,0,0,0,3,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylodes aff. sazimai,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,0,0,3,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
Ischnocnema juipoca,0,9,0,1,5,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,1
Ololygon obtriangulata,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
