,Acari,Araneae,Blattodea,Chilopoda,Coleoptera,Coleoptera Larva,Collembola,Dermaptera,Diplopoda,Ensifera,Formicidae,Hemiptera,Heteroptera,Isópode,Isoptera,Larva,Lepidoptera Larva,Mosca,Opiliones,Orthoptera,Pterygota,Staphylinidae,Thysanoptera,Vespa
Aplastodiscus albosignatus,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana faber,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana prasina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0
Chiasmocleis mantiqueira,1,0,0,0,38,0,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0
Hylodes aff. sazimai,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema guentheri,0,0,201,507,930,0,0,201,0,0,0,0,0,0,0,0,0,0,737,0,0,134,0,0
Ischnocnema juipoca,0,398,0,42,117,0,1,0,0,0,4,0,0,0,0,0,243,0,0,0,0,21,0,8
Ololygon obtriangulata,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,0,0,0,0,8,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceratophrys boiei,0,0,0,0,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,0,0,0,0,33096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
