,Acari,Araneae,Blattodea,Chilopoda,Coleoptera,Coleoptera Larva,Collembola,Dermaptera,Diplopoda,Ensifera,Formicidae,Hemiptera,Heteroptera,Isópode,Isoptera,Larva,Lepidoptera Larva,Mosca,Opiliones,Orthoptera,Pterygota,Staphylinidae,Thysanoptera,Vespa
Aplastodiscus albosignatus,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana faber,0,4105,0,0,0,0,0,0,679,7540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boana latistriata,0,50,226,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokermannohyla luctuosa,4,2375,17,0,737,0,0,0,0,804,0,0,5391,0,0,0,0,0,628,0,0,0,0,0
Chiasmocleis mantiqueira,0,0,0,0,13,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendropsophus microps,0,13,0,0,130,0,0,0,0,0,0,0,0,0,327,0,0,302,0,0,0,0,0,0
Dendropsophus minutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hylodes aff. sazimai,0,13,0,0,101,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
Ischnocnema guentheri,0,105,0,0,871,0,0,377,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema holti,0,0,34,0,142,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13
Ischnocnema juipoca,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischnocnema vizottoi,0,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0
Ololygon obtriangulata,0,398,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
Paratelmatobius mantiqueira,0,1,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
Physalaemus cuvieri,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Physalaemus olfersii,0,17,0,0,283,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,201,0,0
Proceratophrys boiei,8,0,0,34,29715,0,0,0,42,4105,0,0,0,151,0,0,0,0,0,0,0,603,0,0
Proceratophrys itamari,0,101,0,0,117,0,0,0,0,0,0,0,84,289,0,0,0,0,0,0,0,0,0,0
Rhinella icterica,0,0,0,0,569215,1470,0,1977,25644,0,4118,0,2714,113,0,168,2011,0,15205,0,0,917,0,0
Rhinella ornata,0,0,0,0,3736,0,0,0,1319,0,2417,1257,0,0,0,0,0,0,151,0,0,0,0,0
Scinax aff. dolloi,0,219,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trachycephalus imitatrix,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
