"","Código","Espécie","Araneae","Não Identificado","Vazio","Formicidae","Heteroptera","Arthropoda","Opiliones","Coleoptera","Dermaptera","Collembola","Lepidoptera Larva","Staphylinidae","Insecta","Chilopoda","Vespa","Blattodea","Coleoptera Larva","Diplopoda","Acari","Ensifera","Orthoptera","Semente","Mosca","Thysanoptera","Pscoptera","Semente de capim","Arachnida","Isópode","Apenas substrato","Hemiptera","Pterygota","Isoptera","Mantodea","Larva"
"1","MRCM1470","Ischnocnema juipoca",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","MRCM1471","Boana latistriata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","MRCM1475","Ololygon obtriangulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","MRCM1479","Physalaemus olfersii",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","MRCM1486","Ischnocnema guentheri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","MRCM1488","Bokermannohyla luctuosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","MRCM1490","Boana prasina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","MRCM1494","Odontophrynus americanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","MRCM1495","Physalaemus cuvieri",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","MRCM1496","Dendropsophus microps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","MRCM1498","Boana prasina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","MRCM1499","Ololygon obtriangulata",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","MRCM1501","Chiasmocleis mantiqueira",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","MRCM1503","Chiasmocleis mantiqueira",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","MRCM1504","Scinax aff. dolloi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
